Cliente_ID;Tempo_permanencia_horas;Gasto_reais
166;2.65;819.88
167;4.85;1129.24
168;2.45;1104.96
169;10.02;931.71
170;10.38;671.1
171;0.59;875.77
172;9.95;455.23
173;4.46;406.56
174;10.86;1227.28
175;2.61;1321.15
176;3.07;192.62
177;10.85;1432.35
178;3.46;1431.54
179;5.18;390.81
180;9.11;1129.45
181;9.38;943.67
182;1.45;454.02
183;6.27;271.32
184;7.9;337.97
185;0.65;1195.06
186;1.23;1107.79
187;5.93;838.41
188;0.29;1205.69
189;5.71;941.56
190;9.8;1106.69
191;8.53;1237.87
192;7.93;1025.15
193;0.89;761.87
194;9.28;1038.48
195;1.77;1491.15
196;4.81;578.76
197;6.91;1323.44
198;11.94;169.98
199;10.54;171.86
200;3.31;1372.81
201;8.68;1370.79
202;4.91;1457.77
203;9.7;477.89
204;10.73;1191.77
205;9.13;870.29
206;7.53;425.3
207;8.3;1342.75
208;4.91;1423.78
209;2.56;191.83
210;5.97;877.22
211;10.99;985.69
212;2.19;1094.2
213;4.29;264.11
214;1.82;210.52
215;11.85;1147.77
216;5.45;1058.39
217;4.36;695.78
218;10.88;696.28
219;1.2;309.86
220;9.98;299.75
221;4.8;445.92
222;5.11;1082.57
223;6.93;1492.04
224;9.01;1363.97
225;0.15;249.09
226;10.85;1443.25
227;4.72;1332.74
228;8.82;348.69
229;10.27;378.86
230;11.51;633.08
231;9.13;518.16
232;5.11;938.73
233;8.64;1425.61
234;5.08;381.34
235;4.14;1114.94
236;11.16;493.68
237;5.94;630.05
238;4.13;1127.64
239;6.86;163.67
240;6.62;1444.07
241;7.77;1342.91
242;8.2;1116.04
243;0.25;1276.92
244;7.57;565.47
245;9.37;826.77
246;9.53;1406.41
247;3.18;448.72
248;3.17;729.78
249;9.11;1386.49
250;3.93;878.11
251;0.66;963.92
252;2.34;1164.26
253;7.53;786.53
254;9.34;366.58
255;4.42;965.39
256;6.98;1170.27
257;8.04;351.87
258;5.36;703.81
259;7.49;1193.16
260;3.03;1022.98
261;9.9;1135.02
262;4.05;1102.6
263;7.66;1387.18
264;9.67;1165.76
265;11.29;717.79
266;5.84;1245.31
267;5.43;1433.57
268;7.42;1192.69
269;2.62;328.01
270;6.55;741.8
271;5.62;592.13
272;4.17;1463.82
273;11.24;1475.95
274;7.64;257.34
275;10.23;549.42
276;11.8;1386.6
277;11.87;1013.88
278;4.98;949.28
279;0.05;724.26
280;2.0;426.58
281;4.85;1120.1
282;6.56;415.21
283;9.83;979.4
284;9.17;1253.54
285;8.62;1317.52
286;10.02;1014.16
287;8.49;516.57
288;1.75;218.95
289;8.38;168.54
290;2.74;1106.7
291;5.5;527.16
292;5.02;310.87
293;9.59;803.27
294;8.07;596.98
295;6.69;1198.63
296;1.2;733.69
297;2.67;1214.96
298;7.31;1230.59
299;9.8;1130.43
300;4.29;471.88
301;8.34;173.47
302;10.63;1384.35
303;8.72;1328.78
304;6.43;1128.04
305;9.24;413.13
306;0.27;493.81
307;7.0;509.39
308;5.45;389.17
309;2.75;199.53
310;10.99;531.77
311;9.57;393.75
312;1.72;1347.66
313;0.91;1452.82
314;4.97;1407.35
315;8.31;419.03
316;8.6;427.29
317;11.83;401.0
318;0.88;1472.18
319;0.27;830.11
320;1.59;729.51
321;8.92;931.66
322;5.95;542.39
323;2.83;681.17
324;2.65;219.18
325;3.21;550.78
326;6.82;468.29
327;8.42;337.5
328;7.78;773.44
329;10.38;530.4
330;11.94;504.71
331;11.95;1037.6
332;5.49;1349.75
333;5.68;808.54
334;2.87;267.96
335;2.16;859.34
336;2.07;1098.3
337;7.32;1329.1
338;9.13;1307.89
339;5.03;749.04
340;3.91;1186.82
341;9.67;276.06
342;3.74;973.11
343;9.32;317.79
344;6.75;1313.04
345;2.35;990.67
346;9.14;718.67
347;2.64;184.43
348;3.05;1094.27
349;5.54;171.49
350;0.81;1061.64
351;6.98;442.78
352;1.44;1385.03
353;7.98;891.77
354;3.47;567.18
355;11.47;729.07
356;9.12;626.71
357;5.38;821.75
358;7.9;1129.1
359;4.68;1462.47
360;9.68;665.87
361;8.0;1376.46
362;5.45;1103.99
363;2.58;682.51
364;7.24;1380.95
365;4.49;531.81
366;10.07;1073.9
367;3.68;415.76
368;4.02;984.38
369;3.45;1175.98
370;11.89;913.24
371;8.84;1387.85
372;5.41;1061.18
373;6.38;1218.1
374;11.87;239.76
375;6.08;1064.99
376;4.28;1259.74
377;3.64;1171.94
378;0.51;1476.68
379;3.47;1225.57
380;4.84;876.95
381;10.97;290.81
382;6.26;1460.52
383;0.93;1446.57
384;2.33;1188.41
385;6.3;480.75
386;3.31;1213.4
387;10.47;547.63
388;8.83;286.37
389;6.64;449.21
390;1.58;681.7
391;10.64;536.81
392;1.72;527.86
393;4.77;794.53
394;9.48;1190.61
395;5.91;1429.83
396;3.81;928.0
397;1.15;1045.97
398;3.02;864.07
399;11.49;367.27
400;11.54;801.43
401;7.33;641.1
402;10.7;1196.77
403;10.57;962.16
404;5.85;687.72
405;9.13;983.25
406;8.92;310.16
407;10.83;1122.84
408;7.92;718.94
409;5.33;1052.47
410;1.6;741.66
411;6.04;1391.23
412;7.94;756.92
413;9.95;1163.38
414;8.85;1497.69
415;1.53;874.14
416;11.89;952.2
417;5.11;1392.59
418;11.56;279.72
419;0.23;1068.25
420;1.05;1353.29
421;4.07;919.29
422;3.55;464.08
423;8.59;591.24
424;2.72;412.04
425;6.42;1039.1
426;6.53;1229.42
427;5.75;945.76
428;4.23;733.54
429;6.99;1306.98
430;2.9;1342.06
431;2.96;662.07
432;3.25;1157.25
433;7.05;399.71
434;6.7;957.65
435;8.24;831.25
436;2.07;968.38
437;3.9;774.6
438;6.91;1080.47
439;10.43;959.1
440;6.45;621.48
441;2.96;782.18
442;7.61;856.12
443;3.72;805.82
444;6.15;1018.43
445;3.6;189.06
446;10.33;266.12
447;10.68;1143.12
448;9.35;667.92
449;11.26;1402.14
450;0.15;1397.94
451;2.6;215.27
452;8.83;367.07
453;9.18;378.28
454;6.9;278.53
455;7.22;1377.98
456;6.83;553.68
457;0.75;819.03
458;1.7;506.31
459;11.03;220.32
460;8.0;685.16
461;5.63;236.42
462;6.02;1418.55
463;4.34;229.88
464;6.8;817.98
465;0.35;629.93
466;6.76;1141.81
467;0.76;1206.95
468;8.6;1300.71
469;9.1;502.88
470;4.93;1444.5
471;5.22;1199.98
472;4.9;373.11
473;0.2;448.54
474;9.58;324.19
475;8.66;1140.24
476;4.4;1214.64
477;10.02;970.97
478;5.18;364.0
479;8.88;1288.79
480;10.13;434.11
481;7.79;193.11
482;5.99;935.87
483;4.71;458.53
484;8.95;650.02
485;0.47;601.11
486;8.87;836.89
487;9.41;1089.68
488;3.27;242.18
489;2.39;1249.35
490;2.02;242.93
491;1.82;1136.5
492;11.32;408.95
493;9.64;1074.72
494;7.53;737.27
495;3.26;891.79
496;6.44;294.56
497;3.96;1201.99
498;8.34;1182.8
499;9.02;1383.49
500;7.58;291.44
501;2.55;219.92
502;3.29;966.0
503;5.17;1468.55
504;0.02;1005.04
505;10.92;835.31
506;0.49;1347.8
507;7.13;1146.02
508;4.98;1200.58
509;5.46;1344.11
510;9.42;1390.18
511;3.29;803.79
512;8.26;1310.76
513;9.73;1216.63
514;2.91;1096.26
515;4.45;1390.49
516;3.66;1378.84
517;8.95;1105.4
518;2.95;919.9
519;4.66;1418.94
520;4.12;823.63
521;3.27;1497.45
522;10.86;940.77
523;1.38;1066.66
524;8.78;766.2
525;4.67;975.46
526;4.98;584.63
527;3.61;1276.9
528;0.91;1392.09
529;7.83;1067.33
530;8.24;710.4
531;5.88;1376.96
532;9.25;1054.66
533;6.65;1184.59
534;7.89;409.25
535;9.36;1251.16
536;11.98;652.27
537;6.24;731.32
538;0.78;1019.45
539;9.51;1205.51
540;5.52;865.27
541;1.62;753.3
542;8.83;796.69
543;4.34;674.4
544;4.27;684.29
545;0.63;1243.42
546;6.3;990.52
547;5.36;221.06
548;9.48;700.38
549;9.99;1456.9
550;5.75;1064.12
551;4.04;693.06
552;2.8;456.53
553;3.39;1142.69
554;10.56;812.02
555;9.1;643.58
556;7.19;1330.37
557;6.69;379.99
558;9.87;792.22
559;1.05;1067.17
560;2.03;1022.67
561;11.68;915.28
562;11.46;856.03
563;11.68;1302.93
564;2.82;327.85
565;4.81;613.89
566;4.4;918.41
567;2.25;188.24
568;9.23;295.66
569;8.54;614.1
570;9.27;564.8
571;5.32;963.06
572;11.94;912.69
573;5.37;647.58
574;2.66;259.51
575;7.08;698.58
576;6.62;730.16
577;4.37;1087.5
578;10.7;709.27
579;3.01;1119.31
580;5.54;1270.55
581;8.08;669.29
582;3.6;978.68
583;6.93;965.21
584;5.1;421.82
585;0.59;1051.36
586;3.27;1399.42
587;0.37;410.21
588;5.47;1398.7
589;7.72;895.71
590;7.18;1033.89
591;2.33;242.0
592;1.54;1285.84
593;5.97;533.98
594;10.41;1014.64
595;0.79;1437.35
596;8.08;1155.42
597;3.72;1422.6
598;7.91;1323.87
599;3.39;1466.06
600;11.65;1391.48
601;11.6;236.44
602;2.97;1085.97
603;7.74;724.61
604;10.65;1498.56
605;7.62;206.07
606;1.3;1360.99
607;9.08;1362.02
608;4.5;214.09
609;4.22;770.76
610;7.82;525.87
611;8.6;712.36
612;7.21;1352.96
613;2.26;775.54
614;0.31;501.88
615;5.96;492.44
616;5.81;629.37
617;11.18;943.61
618;1.3;1444.97
619;3.38;1078.33
620;3.33;949.55
621;1.26;1416.33
622;1.83;1070.55
623;7.13;626.17
624;2.01;324.89
625;11.86;1294.22
626;4.34;1272.36
627;3.4;552.19
628;8.45;449.35
629;0.85;325.12
630;5.54;1086.57
631;11.5;433.69
632;0.6;482.51
633;2.23;331.61
634;2.9;1225.06
635;6.81;1279.48
636;4.7;664.1
637;8.5;1074.4
638;4.56;163.74
639;0.46;1290.43
640;4.03;616.8
641;6.39;783.11
642;7.1;581.39
643;3.94;598.06
644;8.85;1475.72
645;8.55;1451.16
646;0.08;443.0
647;4.53;1124.12
648;6.82;470.28
649;4.2;207.75
650;10.68;348.98
651;8.01;438.89
652;7.98;1183.8
653;9.39;491.59
654;8.21;1173.13
655;4.6;1317.45
656;9.92;405.31
657;10.55;510.13
658;2.13;613.27
659;9.03;909.88
660;2.77;1065.15
661;3.4;204.89
662;10.73;1200.15
663;10.79;1223.07
664;5.68;1263.04
665;10.23;813.05
666;7.5;431.5
667;10.0;1186.98
668;3.66;390.59
669;7.06;1051.56
670;8.46;843.12
671;5.8;1129.0
672;7.41;1381.05
673;1.02;732.8
674;8.64;299.0
675;3.77;171.7
676;2.22;463.02
677;6.97;1153.92
678;0.96;1190.1
679;1.81;812.1
680;11.93;418.04
681;0.78;1163.8
682;1.53;863.12
683;0.22;1078.95
684;5.94;1202.52
685;11.19;1345.62
686;1.09;161.13
687;3.33;1417.63
688;3.27;539.5
689;5.75;980.84
690;0.79;1433.89
691;6.51;861.34
692;9.93;537.05
693;1.45;1251.08
694;2.6;1358.5
695;5.83;1093.41
696;1.62;1393.2
697;10.11;336.29
698;0.68;451.84
699;8.01;1154.53
700;3.89;580.39
701;2.91;1139.37
702;2.16;1173.6
703;1.02;868.47
704;4.27;397.65
705;8.05;801.5
706;3.15;254.73
707;2.69;841.74
708;2.03;434.93
709;3.42;575.31
710;4.56;867.1
711;3.34;425.63
712;8.88;960.16
713;1.28;184.4
714;9.17;1442.67
715;11.44;863.23
716;10.29;1289.44
717;11.47;1357.02
718;9.13;1377.96
719;0.68;1356.35
720;10.56;1181.79
721;11.54;1223.05
722;2.5;1032.07
723;9.27;744.25
724;0.21;423.67
725;8.53;941.47
726;3.1;1455.72
727;2.91;866.88
728;8.01;1440.13
729;10.09;1298.35
730;11.46;543.71
731;2.07;502.67
732;10.34;396.46
733;10.29;856.41
734;11.83;795.81
735;6.27;1060.96
736;8.2;1484.3
737;5.56;441.21
738;4.47;1341.5
739;4.13;835.85
740;0.31;339.69
741;11.52;1162.98
742;11.18;1398.56
743;2.18;1434.45
744;7.58;992.3
745;1.76;1136.43
746;7.6;478.3
747;11.92;507.37
748;2.77;463.91
749;6.5;441.48
750;6.02;1282.71
751;6.5;1137.87
752;11.55;1275.54
753;4.1;996.03
754;9.64;490.61
755;9.03;813.0
756;0.3;1496.06
757;11.4;1107.77
758;11.13;521.64
759;11.69;1291.0
760;6.93;1418.82
761;10.24;1168.93
762;8.2;701.55
763;0.13;1068.94
764;10.43;1119.17
765;4.66;788.67
766;11.71;1048.65
767;0.06;366.44
768;4.07;1350.07
769;10.73;847.04
770;10.7;1464.69
771;3.97;1430.96
772;1.06;424.74
773;7.81;961.81
774;8.14;176.01
775;0.99;1217.51
776;5.28;1111.99
777;3.82;1289.39
778;1.5;1169.08
779;4.84;295.82
780;0.01;575.95
781;9.24;1236.73
782;3.89;492.2
783;0.56;522.3
784;7.97;999.71
785;2.01;292.86
786;9.51;972.92
787;3.16;679.1
788;10.43;514.14
789;0.35;1108.8
790;4.7;524.45
791;6.32;881.41
792;11.76;1446.81
793;8.79;677.52
794;8.71;580.87
795;6.74;245.24
796;1.31;601.63
797;0.06;362.17
798;5.5;1358.19
799;7.79;276.02
800;7.36;288.89
801;1.57;625.37
802;2.11;549.2
803;9.21;1479.58
804;9.53;564.91
805;7.14;449.94
806;4.05;945.56
807;11.78;328.91
808;4.93;654.38
809;0.34;1063.81
810;2.6;1426.75
811;1.83;737.54
812;10.58;376.39
813;10.55;782.8
814;2.0;842.51
815;2.93;631.82
816;7.41;964.04
817;11.29;786.24
818;4.63;564.0
819;5.71;930.29
820;5.02;1104.42
821;2.28;1231.91
822;11.31;187.21
823;3.09;835.09
824;10.73;1301.74
825;0.57;359.5
826;2.72;403.8
827;6.79;514.59
828;10.74;646.71
829;11.05;1044.35
830;9.2;595.47
831;6.32;1119.12
832;9.57;971.79
833;0.26;1025.23
834;5.02;1052.95
835;8.95;402.55
836;11.2;169.19
837;8.62;945.6
838;4.89;1234.28
839;8.74;1329.72
840;1.86;1431.23
841;3.84;831.7
842;1.03;668.36
843;9.0;739.34
844;10.71;1119.0
845;5.38;1077.06
846;5.06;1430.73
847;1.51;1379.33
848;0.26;1231.06
849;2.15;1380.25
850;8.72;329.34
851;8.12;192.23
852;3.21;346.92
853;5.59;1302.2
854;8.09;177.38
855;3.97;1140.04
856;9.6;1163.45
857;4.54;1285.81
858;0.6;1219.38
859;7.22;763.41
860;1.28;1297.3
861;9.71;636.76
862;2.23;564.04
863;11.03;773.79
864;7.36;1153.18
865;10.26;245.75
866;7.88;285.32
867;1.24;1391.58
868;2.84;1475.34
869;9.5;928.64
870;6.25;837.06
871;4.28;375.62
872;3.99;479.11
873;10.71;668.07
874;11.07;391.96
875;6.93;1436.29
876;1.22;817.97
877;1.05;712.66
878;11.48;835.13
879;3.87;1037.36
880;0.5;775.41
881;0.88;517.16
882;10.35;633.06
883;3.92;176.55
884;9.06;407.44
885;3.23;981.31
886;3.32;645.11
887;7.57;281.94
888;3.64;587.05
889;7.28;646.07
890;11.83;175.22
891;6.86;822.33
892;5.43;802.3
893;11.53;971.87
894;1.34;914.25
895;1.79;1498.08
896;5.82;1303.85
897;4.37;700.15
898;1.34;1391.47
899;2.39;1481.87
900;11.93;179.72
901;10.62;655.7
902;10.13;377.45
903;8.93;1458.16
904;8.92;267.68
905;12.0;665.7
906;10.79;737.1
907;4.0;401.95
908;9.02;815.92
909;5.37;478.2
910;1.34;485.27
911;4.13;626.37
912;4.92;878.73
913;9.37;242.92
914;3.86;344.45
915;6.2;1334.59
916;8.22;584.94
917;1.38;714.43
918;2.22;269.09
919;8.34;960.96
920;9.88;1357.51
921;4.27;907.49
922;10.54;818.51
923;6.84;646.15
924;10.52;1328.22
925;3.53;690.76
926;3.33;166.58
927;4.74;1350.43
928;2.98;241.48
929;1.46;1022.82
930;2.06;702.22
931;4.66;1371.55
932;3.17;905.55
933;8.52;273.04
934;2.65;469.38
935;3.2;789.03
936;9.04;1448.32
937;11.95;191.34
938;11.51;853.1
939;4.98;1045.13
940;3.09;1393.2
941;0.43;191.58
942;10.65;1442.75
943;6.16;1475.54
944;8.66;746.13
945;1.92;1246.32
946;1.82;821.45
947;11.68;565.12
948;6.86;252.32
949;8.69;571.86
950;9.8;574.62
951;5.43;633.24
952;4.28;702.81
953;2.63;1144.99
954;9.02;748.5
955;0.6;306.42
956;0.44;270.52
957;1.5;216.67
958;10.67;1123.49
959;11.75;871.81
960;11.4;1378.07
961;0.41;1412.05
962;1.69;246.21
963;10.75;855.97
964;9.84;1133.66
965;4.9;1487.69
966;7.25;291.11
967;7.57;738.62
968;5.56;312.3
969;10.32;548.38
970;3.1;975.03
971;3.09;765.96
972;5.87;930.66
973;8.18;383.06
974;5.58;604.4
975;4.24;1445.76
976;1.92;1089.28
977;8.56;1247.55
978;8.62;1384.75
979;11.51;1352.73
980;1.38;1340.9
981;9.15;1107.88
982;8.14;1013.98
983;2.25;1108.3
984;10.37;622.36
985;2.54;1419.08
986;2.41;1385.75
987;3.42;280.53
988;6.08;856.13
989;8.83;935.79
990;1.13;1227.72
991;6.31;1092.27
992;10.67;202.4
993;0.66;224.69
994;2.43;662.13
995;4.51;1396.15
996;8.05;1312.8
997;1.73;546.99
998;4.75;1352.44
999;9.74;1499.6
1000;7.28;1014.4
1001;7.76;1059.48
1002;8.94;978.27
1003;8.44;1228.4
1004;2.51;1207.29
1005;3.23;426.27
1006;6.3;1131.78
1007;4.2;467.99
1008;3.3;890.53
1009;10.75;385.84
1010;0.78;1134.73
1011;9.03;648.69
1012;2.42;937.16
1013;0.32;941.62
1014;3.4;807.24
1015;4.76;456.51
1016;4.0;370.61
1017;1.38;960.23
1018;0.55;604.65
1019;3.3;589.21
1020;3.53;711.92
1021;8.54;1347.49
1022;9.83;418.66
1023;0.34;467.01
1024;11.21;1283.21
1025;3.42;194.74
1026;7.93;349.02
1027;1.14;1355.0
1028;6.25;1310.97
1029;10.74;978.46
1030;0.87;909.72
1031;9.13;423.37
1032;11.16;666.08
1033;6.99;1196.0
1034;5.21;1401.26
1035;11.49;497.47
1036;6.97;1053.01
1037;7.02;1181.05
1038;3.17;875.24
1039;9.26;1249.75
1040;2.6;387.17
1041;3.51;652.13
1042;8.15;1169.35
1043;7.17;449.27
1044;4.04;457.21
1045;5.66;1232.24
1046;6.52;327.45
1047;5.0;1454.38
1048;11.08;744.42
1049;8.2;985.01
1050;4.5;445.29
1051;5.99;1172.3
1052;6.42;1403.49
1053;3.84;845.39
1054;6.77;1097.37
1055;3.4;1259.89
1056;4.56;268.69
1057;0.41;1186.05
1058;3.73;537.99
1059;7.88;290.19
1060;8.46;485.61
1061;2.41;1082.07
1062;6.52;1436.36
1063;10.06;771.37
1064;8.28;213.36
1065;10.74;605.31
1066;4.57;1021.35
1067;0.82;1221.93
1068;4.52;913.66
1069;4.61;692.32
1070;2.48;1445.17
1071;11.75;747.27
1072;0.27;1187.69
1073;11.98;1110.0
1074;6.17;952.25
1075;3.67;1452.05
1076;5.21;1275.87
1077;1.86;1357.23
1078;6.15;329.23
1079;1.29;677.37
1080;1.46;856.69
1081;5.61;1017.54
1082;11.5;595.51
1083;0.04;555.77
1084;6.6;1014.68
1085;4.8;777.16
1086;8.12;317.01
1087;10.95;1384.03
1088;0.22;1371.46
1089;6.6;854.35
1090;9.33;1013.88
1091;10.73;1273.92
1092;5.3;369.76
1093;2.28;1188.03
1094;0.7;1190.16
1095;7.96;1319.12
1096;10.91;837.94
1097;4.5;748.97
1098;11.19;1166.59
1099;11.38;475.69
1100;3.41;1147.13
1101;1.75;1473.05
1102;1.05;1080.84
1103;0.18;1133.98
1104;0.39;232.13
1105;4.26;1463.39
1106;0.77;167.06
1107;7.53;231.44
1108;4.69;388.68
1109;2.71;1164.74
1110;9.1;1170.38
1111;4.65;1486.89
1112;5.24;829.44
1113;11.36;536.71
1114;5.33;1197.17
1115;5.12;1161.06
1116;7.83;877.83
1117;2.6;643.05
1118;7.37;579.17
1119;9.58;1098.82
1120;3.98;712.79
1121;4.63;1387.24
1122;2.43;390.3
1123;2.56;1217.74
1124;1.8;197.14
1125;9.26;1215.32
1126;0.5;878.71
1127;2.17;954.1
1128;3.48;1248.42
1129;9.33;284.59
1130;0.32;858.28
1131;10.84;941.18
1132;4.5;1207.01
1133;6.18;903.37
1134;6.06;293.71
1135;9.96;891.77
1136;3.85;894.49
1137;10.48;911.52
1138;4.24;758.84
1139;11.24;458.2
1140;0.13;504.72
1141;9.77;1262.9
1142;10.8;867.08
1143;11.06;548.01
1144;1.73;417.27
1145;8.79;833.16
1146;6.1;352.75
1147;10.51;999.88
1148;10.25;374.92
1149;7.47;1105.52
1150;1.46;363.68
1151;5.51;1337.03
1152;11.3;454.0
1153;1.06;1169.46
1154;5.43;974.95
1155;1.49;886.05
1156;2.96;1134.11
1157;8.06;806.58
1158;8.12;1246.5
1159;11.76;609.52
1160;10.0;1080.87
1161;3.66;443.13
1162;4.93;880.76
1163;9.87;280.2
1164;8.36;1493.04
1165;10.18;1158.27
1166;6.57;1355.56
1167;8.45;186.63
1168;2.79;1279.49
1169;4.35;873.52
1170;7.5;710.12
1171;11.32;401.64
1172;10.01;909.91
1173;2.59;473.13
1174;5.97;959.02
1175;10.53;410.87
1176;7.07;946.08
1177;6.0;646.18
1178;11.73;1237.16
1179;3.68;817.33
1180;11.85;617.23
1181;10.1;669.19
1182;0.53;1297.54
1183;10.81;802.08
1184;2.05;1069.96
1185;8.16;296.71
1186;5.23;1081.94
1187;0.89;983.41
1188;4.06;961.49
1189;0.35;1143.82
1190;1.74;631.6
1191;8.22;888.74
1192;3.59;1469.51
1193;7.72;1191.75
1194;6.41;1029.96
1195;1.26;237.05
1196;4.17;682.74
1197;10.93;1264.09
1198;10.34;1048.71
1199;7.38;308.02
1200;3.79;827.71
1201;4.54;1013.01
1202;10.55;671.33
1203;9.48;612.65
1204;10.61;673.01
1205;4.69;890.45
1206;6.7;574.67
1207;0.99;908.41
1208;8.35;763.85
1209;11.49;311.67
1210;4.57;945.22
1211;11.71;906.67
1212;8.99;1329.39
1213;2.6;1215.39
1214;11.42;905.06
1215;10.19;794.37
1216;6.79;734.29
1217;4.17;598.03
1218;7.67;230.18
1219;3.14;1438.47
1220;3.75;1409.25
1221;10.7;184.7
1222;8.82;423.04
1223;6.23;335.88
1224;7.43;1469.93
1225;7.38;619.79
1226;5.1;1054.41
1227;10.2;1498.77
1228;3.89;899.33
1229;7.96;1095.47
1230;9.5;1005.27
1231;5.81;737.72
1232;7.36;283.61
1233;8.16;390.75
1234;5.52;422.33
1235;4.95;634.36
1236;8.67;394.28
1237;5.4;350.61
1238;2.19;608.47
1239;3.05;1124.68
1240;10.58;715.98
1241;5.21;1354.23
1242;5.35;539.38
1243;6.93;364.88
1244;0.72;1496.39
1245;1.6;420.55
1246;3.4;1442.22
1247;10.27;1003.41
1248;9.89;843.61
1249;6.12;991.1
1250;5.34;453.53
1251;4.63;244.42
1252;0.63;576.5
1253;9.54;323.45
1254;9.57;1289.53
1255;3.51;1388.53
1256;4.21;1325.85
1257;1.78;1293.82
1258;1.88;1422.78
1259;5.23;423.37
1260;11.13;185.43
1261;9.29;966.42
1262;6.19;974.3
1263;8.21;787.99
1264;0.09;809.74
1265;9.9;792.25
1266;8.2;236.65
1267;3.32;1486.52
1268;5.25;531.9
1269;11.59;265.75
1270;8.68;840.09
1271;0.08;397.9
1272;1.01;597.99
1273;5.97;198.28
1274;8.84;457.74
1275;9.71;167.72
1276;6.2;916.07
1277;2.53;1044.24
1278;7.92;802.8
1279;10.1;1007.47
1280;6.02;853.11
1281;10.62;1114.85
1282;2.76;589.68
1283;6.16;386.32
1284;7.67;927.73
1285;1.78;363.25
1286;6.57;363.45
1287;7.53;737.16
1288;1.24;750.03
1289;4.11;1088.25
1290;1.72;603.68
1291;5.13;1401.82
1292;6.63;1149.87
1293;2.29;1156.72
1294;5.08;262.71
1295;6.74;1289.85
1296;10.22;1304.63
1297;1.98;1204.21
1298;3.91;343.52
1299;5.17;1120.12
1300;0.01;356.42
1301;3.16;163.41
1302;9.17;353.01
1303;10.57;775.01
1304;10.41;1195.53
1305;7.92;854.16
1306;5.69;887.15
1307;2.24;627.37
1308;7.04;654.97
1309;0.02;1238.88
1310;1.81;1442.61
1311;9.22;294.58
